78.5,-63.01841454,,,,,,,,,,,,,,,,,
79,-63.29715718,,,,,,,,,,,,,,,,,
79.5,-63.29715718,,,,,,,,,,,,,,,,,
80,-63.39007139,,,,,,,,,,,,,,,,,
80.5,-63.20424297,,,,,,,,,,,,,,,,,
81,-62.92550033,,,,,,,,,,,,,,,,,
81.5,-62.55384349,,,,,,,,,,,,,,,,,
82,-61.99635823,,,,,,,,,,,,,,,,,
82.5,-61.25304455,,,,,,,,,,,,,,,,,
83,-60.60264507,,,,,,,,,,,,,,,,,
83.5,-59.67350297,,,,,,,,,,,,,,,,,
84,-58.74436087,,,,,,,,,,,,,,,,,
84.5,-57.62939034,,,,,,,,,,,,,,,,,
85,-56.70024824,,,,,,,,,,,,,,,,,
85.5,-55.58527771,,,,,,,,,,,,,,,,,
86,-54.65613561,,,,,,,,,,,,,,,,,
86.5,-53.44825088,,,,,,,,,,,,,,,,,
87,-52.42619456,,,,,,,,,,,,,,,,,
87.5,-51.12539562,,,,,,,,,,,,,,,,,
88,-50.1033393,,,,,,,,,,,,,,,,,
88.5,-48.80254036,,,,,,,,,,,,,,,,,
89,-47.78048404,,,,,,,,,,,,,,,,,
89.5,-46.85134194,,,,,,,,,,,,,,,,,
90,-46.01511404,,,,,,,,,,,,,,,,,
90.5,-45.6434572,,,,,,,,,,,,,,,,,
91,-45.36471457,,,,,,,,,,,,,,,,,
91.5,-45.6434572,,,,,,,,,,,,,,,,,
92,-46.01511404,,,,,,,,,,,,,,,,,
92.5,-47.03717036,,,,,,,,,,,,,,,,,
93,-48.05922667,,,,,,,,,,,,,,,,,
93.5,-49.63876825,,,,,,,,,,,,,,,,,
94,-51.58996667,,,,,,,,,,,,,,,,,
94.5,-53.35533666,,,,,,,,,,,,,,,,,
95,-55.58527771,,,,,,,,,,,,,,,,,
95.5,-57.72230455,,,,,,,,,,,,,,,,,
96,-60.13807402,,,,,,,,,,,,,,,,,
96.5,-62.08927244,,,,,,,,,,,,,,,,,
97,-64.50504191,,,,,,,,,,,,,,,,,
97.5,-66.27041191,,,,,,,,,,,,,,,,,
98,-68.22161033,,,,,,,,,,,,,,,,,
98.5,-69.33658085,,,,,,,,,,,,,,,,,
99,-70.54446559,,,,,,,,,,,,,,,,,
99.5,-70.91612243,,,,,,,,,,,,,,,,,
100,-71.19486506,,,,,,,,,,,,,,,,,
