Time (s),Elbow F/E Pos,Forearm P/S Pos,Wrist F/E Pos,Wrist R/U Pos,Last DoF Pos,Elbow F/E Pos (Deg),Forearm P/S Pos (Deg),Wrist F/E Pos (Deg),Wrist R/U Pos (Deg),Last DoF Pos (Deg),Robot Joint 1 Pos,Robot Joint 2 Pos,Robot Joint 3 Pos,Robot Joint 4 Pos,Robot Joint 5 Pos,Elbow F/E Vel,Forearm P/S Vel,Wrist F/E Vel,Wrist R/U Pos,Last DoF Pos,Robot Joint 1 Vel,Robot Joint 2 Vel,Robot Joint 3 Vel,Robot Joint 4 Vel,Robot Joint 5 Vel
2.05243,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05342,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05442,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05542,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05642,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05742,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05842,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05942,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06044,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06142,-0.371101,-0.57491,0.125687,-0.0661854,0.0887587,-21.26252107,-32.9399166,7.20133464,-3.792144085,5.085498905,-0.371101,-0.57491,0.10623,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06244,-0.371101,-0.57491,0.125676,-0.0661235,0.0887571,-21.26252107,-32.9399166,7.200704386,-3.788597477,5.085407232,-0.371101,-0.57491,0.106225,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06343,-0.371101,-0.57491,0.125676,-0.0661235,0.0887571,-21.26252107,-32.9399166,7.200704386,-3.788597477,5.085407232,-0.371101,-0.57491,0.106225,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06443,-0.371101,-0.57491,0.125676,-0.0661235,0.0887571,-21.26252107,-32.9399166,7.200704386,-3.788597477,5.085407232,-0.371101,-0.57491,0.106225,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06544,-0.371101,-0.57491,0.125676,-0.0661235,0.0887571,-21.26252107,-32.9399166,7.200704386,-3.788597477,5.085407232,-0.371101,-0.57491,0.106225,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06643,-0.371101,-0.57491,0.125676,-0.0661235,0.0887571,-21.26252107,-32.9399166,7.200704386,-3.788597477,5.085407232,-0.371101,-0.57491,0.106225,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.06743,-0.371101,-0.57491,0.125665,-0.0660615,0.0887554,-21.26252107,-32.9399166,7.200074133,-3.785045138,5.085309829,-0.371101,-0.57491,0.106221,0.0967172,0.105616,0,0,-0.00159678,0.00917757,-0.000239785,0,0,-0.000663721,0,0
2.06843,-0.371101,-0.57491,0.125665,-0.0660615,0.0887554,-21.26252107,-32.9399166,7.200074133,-3.785045138,5.085309829,-0.371101,-0.57491,0.106221,0.0967172,0.105616,0,0,-0.00159678,0.00917757,-0.000239785,0,0,-0.000663721,0,0
2.06943,-0.371101,-0.57491,0.125665,-0.0660615,0.0887554,-21.26252107,-32.9399166,7.200074133,-3.785045138,5.085309829,-0.371101,-0.57491,0.106221,0.0967172,0.105616,0,0,-0.00159678,0.00917757,-0.000239785,0,0,-0.000663721,0,0
2.07044,-0.371101,-0.57491,0.125665,-0.0660615,0.0887554,-21.26252107,-32.9399166,7.200074133,-3.785045138,5.085309829,-0.371101,-0.57491,0.106221,0.0967172,0.105616,0,0,-0.00159678,0.00917757,-0.000239785,0,0,-0.000663721,0,0
2.07144,-0.371101,-0.57491,0.125654,-0.0659995,0.0887538,-21.26252107,-32.9399166,7.199443879,-3.7814928,5.085218156,-0.371101,-0.57491,0.106216,0.0967172,0.105616,0,0,-0.00178883,0.0102823,-0.000268649,0,0,-0.000743584,0,0
2.07245,-0.371101,-0.57491,0.125654,-0.0659995,0.0887538,-21.26252107,-32.9399166,7.199443879,-3.7814928,5.085218156,-0.371101,-0.57491,0.106216,0.0967172,0.105616,0,0,-0.00178883,0.0102823,-0.000268649,0,0,-0.000743584,0,0
2.07344,-0.371101,-0.57491,0.125654,-0.0659995,0.0887538,-21.26252107,-32.9399166,7.199443879,-3.7814928,5.085218156,-0.371101,-0.57491,0.106216,0.0967172,0.105616,0,0,-0.00178883,0.0102823,-0.000268649,0,0,-0.000743584,0,0
2.07444,-0.371101,-0.57491,0.125654,-0.0659995,0.0887538,-21.26252107,-32.9399166,7.199443879,-3.7814928,5.085218156,-0.371101,-0.57491,0.106216,0.0967172,0.105616,0,0,-0.00178883,0.0102823,-0.000268649,0,0,-0.000743584,0,0
2.07544,-0.371101,-0.57491,0.125654,-0.0659995,0.0887538,-21.26252107,-32.9399166,7.199443879,-3.7814928,5.085218156,-0.371101,-0.57491,0.106216,0.0967172,0.105616,0,0,-0.00178883,0.0102823,-0.000268649,0,0,-0.000743584,0,0
2.07644,-0.371101,-0.57491,0.125712,-0.0659687,0.0887503,-21.26252107,-32.9399166,7.202767034,-3.77972809,5.085017621,-0.371101,-0.57491,0.106212,0.0967127,0.105616,0,0,-0.00194252,0.0111629,-0.000291653,0,0,-0.000807247,0,0
2.07744,-0.371101,-0.57491,0.125712,-0.0659687,0.0887503,-21.26252107,-32.9399166,7.202767034,-3.77972809,5.085017621,-0.371101,-0.57491,0.106212,0.0967127,0.105616,0,0,-0.00194252,0.0111629,-0.000291653,0,0,-0.000807247,0,0
2.07844,-0.371101,-0.57491,0.125712,-0.0659687,0.0887503,-21.26252107,-32.9399166,7.202767034,-3.77972809,5.085017621,-0.371101,-0.57491,0.106212,0.0967127,0.105616,0,0,-0.00194252,0.0111629,-0.000291653,0,0,-0.000807247,0,0
2.07944,-0.371101,-0.57491,0.125701,-0.0659067,0.0887486,-21.26252107,-32.9399166,7.202136781,-3.776175752,5.084920218,-0.371101,-0.57491,0.106207,0.0967127,0.105616,0,0,-0.00245005,0.0140808,-0.000367891,0,0,-0.00101822,0,0
