Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.060582,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.061577,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.062571,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.063572,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.064584,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.065579,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.066577,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.067576,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.068578,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.06958,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.070581,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.0716,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.072585,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.07439,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.074685,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.075685,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.076704,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.078509,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.078842,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.079814,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
