time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0.051885,0.8,0.2,-0.785368,0,-1.64762e-16,2.34707e-16,-0.780666,1.61138e-06,-7.36656e-06,-0.00347899,-0.689163,-4.05429e-05,0.000102403,0.05073,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.052885,0.8,0.2,-0.785364,0,-1.64758e-16,2.34703e-16,-0.780491,1.58711e-06,-6.59982e-06,-0.003331,-0.706982,-3.93083e-05,9.17588e-05,0.04846,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.053918,0.8,0.2,-0.785361,0,-1.64755e-16,2.34698e-16,-0.780315,1.56016e-06,-5.92305e-06,-0.00317877,-0.724741,-3.80344e-05,8.25491e-05,0.046142,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.054918,0.8,0.2,-0.785357,0,-1.64751e-16,2.34693e-16,-0.780139,1.5307e-06,-5.34377e-06,-0.00302383,-0.742416,-3.67269e-05,7.48676e-05,0.0437983,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.055976,0.8,0.2,-0.785354,0,-1.64748e-16,2.34688e-16,-0.779962,1.49893e-06,-4.86759e-06,-0.00286767,-0.759971,-3.53913e-05,6.87793e-05,0.0414509,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.056976,0.8,0.2,-0.78535,0,-1.64745e-16,2.34683e-16,-0.779785,1.46501e-06,-4.49824e-06,-0.0027117,-0.777468,-3.40328e-05,6.43208e-05,0.0391203,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.057986,0.8,0.2,-0.785347,0,-1.64741e-16,2.34679e-16,-0.779609,1.42914e-06,-4.23753e-06,-0.00255729,-0.794858,-3.26567e-05,6.1501e-05,0.0368265,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.059443,0.8,0.2,-0.785341,0,-1.64736e-16,2.34672e-16,-0.779432,1.39151e-06,-4.08546e-06,-0.00240573,-0.811968,-3.12678e-05,6.0302e-05,0.0345877,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0605,0.8,0.2,-0.785338,0,-1.64733e-16,2.34667e-16,-0.779255,1.35229e-06,-4.04033e-06,-0.00225821,-0.829109,-2.98708e-05,6.06815e-05,0.032421,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0615,0.8,0.2,-0.785334,0,-1.6473e-16,2.34662e-16,-0.779078,1.31167e-06,-4.0988e-06,-0.00211583,-0.846163,-2.84703e-05,6.25741e-05,0.030342,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0625,0.8,0.2,-0.785331,0,-1.64726e-16,2.34657e-16,-0.778902,1.26981e-06,-4.25608e-06,-0.00197959,-0.586769,-0.00431015,-0.0146591,0.0823867,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.0635,0.8,0.2,-0.785327,0,-1.64723e-16,2.34652e-16,-0.778726,1.22691e-06,-4.50606e-06,-0.0018504,-0.60355,-0.00430875,-0.0146545,0.0805234,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.065047,0.8,0.2,-0.785321,0,-1.64717e-16,2.34645e-16,-0.77855,1.12629e-06,-8.58944e-06,-0.0017209,-0.620698,-0.00428305,-0.0145175,0.0785003,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.066047,0.8,0.2,-0.785318,0,-1.64714e-16,2.3464e-16,-0.778374,8.56293e-07,-2.38127e-05,-0.00157577,-0.638722,-0.00423063,-0.0141421,0.0760911,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.067594,0.8,0.2,-0.785313,0,-1.64709e-16,2.34633e-16,-0.778197,3.67822e-07,-5.31688e-05,-0.00140844,-0.656509,-0.00417442,-0.0135661,0.0733696,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.068594,0.8,0.2,-0.785309,0,-1.64706e-16,2.34628e-16,-0.77802,-3.25158e-07,-9.52814e-05,-0.00122126,-0.67443,-0.00411574,-0.0128149,0.0703764,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.069594,0.8,0.2,-0.785306,0,-1.64703e-16,2.34624e-16,-0.777842,-1.20622e-06,-0.000148488,-0.00101689,-0.69231,-0.00405511,-0.0119144,0.0671526,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.070595,0.8,0.2,-0.785302,0,-1.64699e-16,2.34619e-16,-0.777664,-2.25909e-06,-0.000211064,-0.000798071,-0.710082,-0.00399287,-0.0108908,0.0637395,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.071595,0.8,0.2,-0.785299,0,-1.64696e-16,2.34614e-16,-0.777486,-3.46808e-06,-0.000281262,-0.000567546,-0.727823,-0.00392933,-0.00977036,0.0601784,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.072595,0.8,0.2,-0.785295,0,-1.64693e-16,2.34609e-16,-0.777308,-4.81819e-06,-0.00035735,-0.000328063,-0.745493,-0.00386477,-0.00857873,0.0565102,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.073596,0.8,0.2,-0.785292,0,-1.64689e-16,2.34605e-16,-0.777129,-6.29513e-06,-0.000437636,-8.23248e-05,-0.763081,-0.00379944,-0.00734081,0.052775,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.074596,0.8,0.2,-0.785288,0,-1.64686e-16,2.346e-16,-0.776951,-7.88538e-06,-0.00052049,0.00016703,-0.780596,-0.00373357,-0.00608026,0.0490114,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.075596,0.8,0.2,-0.785285,0,-1.64683e-16,2.34595e-16,-0.776772,-9.5762e-06,-0.000604371,0.000417458,-0.79802,-0.00366734,-0.00481924,0.0452567,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.076596,0.8,0.2,-0.785281,0,-1.64679e-16,2.3459e-16,-0.776594,-1.13557e-05,-0.000687842,0.000666533,-0.815355,-0.00360094,-0.00357818,0.041546,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.077598,0.8,0.2,-0.785277,0,-1.64676e-16,2.34586e-16,-0.776416,-1.32127e-05,-0.000769586,0.000911966,-0.832579,-0.0035345,-0.00237555,0.037912,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.078598,0.8,0.2,-0.785274,0,-1.64673e-16,2.34581e-16,-0.776238,-1.5137e-05,-0.00084842,0.00115163,-0.849723,-0.00346814,-0.00122772,0.0343851,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.079598,0.8,0.2,-0.78527,0,-1.64669e-16,2.34576e-16,-0.77606,-1.71192e-05,-0.000923301,0.00138355,-0.866723,-0.00340196,-0.00014887,0.0309929,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.080598,0.8,0.2,-0.785267,0,-1.64666e-16,2.34571e-16,-0.775883,-1.91508e-05,-0.000993335,0.00160596,-0.883621,-0.00333603,0.000849081,0.0277603,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.081598,0.8,0.2,-0.785263,0,-1.64663e-16,2.34567e-16,-0.775706,-2.12238e-05,-0.00105778,0.00181727,-0.900393,-0.00327043,0.00175648,0.0247092,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.082598,0.8,0.2,-0.78526,0,-1.64659e-16,2.34562e-16,-0.775529,-2.33313e-05,-0.00111604,0.00201608,-0.917034,-0.00320517,0.00256592,0.0218585,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.083598,0.8,0.2,-0.785256,0,-1.64656e-16,2.34557e-16,-0.775353,-2.54671e-05,-0.00116767,0.0022012,-0.933508,-0.0031403,0.00327217,0.0192241,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.084599,0.8,0.2,-0.785253,0,-1.64653e-16,2.34552e-16,-0.775178,-2.76257e-05,-0.00121236,0.00237162,-0.949869,-0.00307583,0.00387212,0.0168191,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.085615,0.8,0.2,-0.785249,0,-1.64649e-16,2.34548e-16,-0.775003,-2.98021e-05,-0.00124996,0.00252656,-0.966082,-0.00301177,0.00436461,0.0146535,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.086615,0.8,0.2,-0.785246,0,-1.64646e-16,2.34543e-16,-0.774829,-3.19922e-05,-0.00128042,0.00266539,-0.982129,-0.00294811,0.00475034,0.0127346,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.087616,0.8,0.2,-0.785242,0,-1.64643e-16,2.34539e-16,-0.774656,-3.41923e-05,-0.00130383,0.00278771,-0.998009,-0.00288484,0.00503168,0.0110666,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.088617,0.8,0.2,-0.785239,0,-1.6464e-16,2.34534e-16,-0.774484,-3.63993e-05,-0.00132038,0.00289327,-1.01371,-0.00282195,0.00521253,0.00965153,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.089617,0.8,0.2,-0.785235,0,-1.64636e-16,2.34529e-16,-0.774313,-3.86106e-05,-0.00133036,0.00298201,-1.0292,-0.00275943,0.00529811,0.00848849,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.090617,0.8,0.2,-0.785232,0,-1.64633e-16,2.34524e-16,-0.774143,-4.08238e-05,-0.00133414,0.00305404,-1.04454,-0.00269727,0.0052948,0.00757434,-0.276304,0.00428308,0.014725,-0.054022,0,25,0,0,0,0,0,0,65,65,25,25,25,25,25,40
